name,population,county
Minneapolis,"428,579",Hennepin
Saint Paul ,"307,465",Ramsey
Rochester,"123,624",Olmsted
Bloomington,"88,344",Hennepin
Duluth,"87,986",St. Louis
Brooklyn Park,"82,893",Hennepin
Woodbury,"80,596",Washington
Plymouth,"78,551",Hennepin
Lakeville,"77,971",Dakota
Blaine,"75,172","Anoka
Ramsey"
Maple Grove,"72,739",Hennepin
St. Cloud,"72,145","Stearns
Benton
Sherburne"
Eagan,"67,240",Dakota
Burnsville,"64,864",Dakota
Coon Rapids,"63,807",Anoka
Eden Prairie,"62,905",Hennepin
Apple Valley,"55,272",Dakota
Edina,"53,564",Hennepin
Minnetonka,"52,651",Hennepin
St. Louis Park,"49,899",Hennepin
Shakopee †,"48,401",Scott
Mankato †,"46,459","Blue Earth
Nicollet
Le Sueur"
Moorhead †,"45,726",Clay
Cottage Grove,"42,760",Washington
Maplewood,"40,142",Ramsey
Richfield,"36,491",Hennepin
Inver Grove Heights,"36,226",Dakota
Roseville,"35,637",Ramsey
Andover,"33,426",Anoka
Savage,"32,896",Scott
Brooklyn Center,"31,755",Hennepin
Fridley,"30,679",Anoka
Rosemount,"30,581",Dakota
Oakdale,"30,441",Washington
Chaska †,"30,167",Carver
Ramsey,"28,999",Anoka
Prior Lake,"28,018",Scott
Elk River †,"27,606",Sherburne
Shoreview,"26,939",Ramsey
Austin †,"26,690",Mower
Owatonna †,"26,626",Steele
Winona †,"26,173",Winona
Chanhassen,"25,746","Carver
Hennepin"
Faribault †,"24,983",Rice
Farmington,"24,464",Dakota
Otsego,"23,875",Wright
White Bear Lake,"23,479","Ramsey
Washington"
Champlin,"23,045",Hennepin
Lino Lakes,"22,774",Anoka
Hastings †,"22,502","Dakota
Washington"
New Brighton,"22,374",Ramsey
Columbia Heights,"22,358",Anoka
Crystal,"22,082",Hennepin
West St. Paul,"21,920",Dakota
Willmar †,"21,892",Kandiyohi
St. Michael,"21,681",Wright
Northfield,"21,316","Rice
Dakota"
Golden Valley,"21,263",Hennepin
New Hope,"20,745",Hennepin
Forest Lake,"20,700",Washington
South St. Paul,"20,590",Dakota
Sartell,"19,979","Stearns
Benton"
Hopkins,"19,462",Hennepin
Stillwater †,"19,386",Washington
Albert Lea †,"18,159",Freeborn
Anoka †,"18,068",Anoka
Ham Lake,"16,905",Anoka
Red Wing †,"16,788",Goodhue
Hugo,"16,765",Washington
Buffalo †,"16,736",Wright
Hibbing,"15,940",St. Louis
Bemidji †,"15,733",Beltrami
Monticello,"15,482",Wright
Alexandria †,"14,914",Douglas
Hutchinson,"14,708",McLeod
Rogers,"14,493",Hennepin
Brainerd †,"14,400",Crow Wing
Fergus Falls †,"14,258",Otter Tail
Lake Elmo,"14,161",Washington
North Mankato,"14,241","Nicollet
Blue Earth"
Marshall †,"13,996",Lyon
Robbinsdale,"13,993",Hennepin
New Ulm †,"13,970",Brown
Sauk Rapids,"13,832",Benton
Waconia,"13,831",Carver
Worthington †,"13,754",Nobles
Vadnais Heights,"13,108",Ramsey
Big Lake,"12,855",Sherburne
Mounds View,"12,841",Ramsey
North St. Paul,"12,644",Ramsey
Cloquet,"12,475",Carlton
St. Peter †,"12,456",Nicollet
East Bethel,"12,288",Anoka
North Branch,"12,258",Chisago
Victoria,"11,937",Carver
Mendota Heights,"11,542",Dakota
