County,Population,Area
Aitkin County,"16,335","1,819.30 sq mi
(4,712 km2)"
Anoka County,"376,840","423.61 sq mi
(1,097 km2)"
Becker County,"35,444","1,310.42 sq mi
(3,394 km2)"
Beltrami County,"46,762","2,505.27 sq mi
(6,489 km2)"
Benton County,"41,881","408.28 sq mi
(1,057 km2)"
Big Stone County,"5,067","496.95 sq mi
(1,287 km2)"
Blue Earth County,"70,700","752.36 sq mi
(1,949 km2)"
Brown County,"25,710","610.86 sq mi
(1,582 km2)"
Carlton County,"36,745","860.33 sq mi
(2,228 km2)"
Carver County,"112,628","357.04 sq mi
(925 km2)"
Cass County,"31,442","2,017.60 sq mi
(5,226 km2)"
Chippewa County,"12,299","582.80 sq mi
(1,509 km2)"
Chisago County,"59,105","417.63 sq mi
(1,082 km2)"
Clay County,"66,848","1,045.24 sq mi
(2,707 km2)"
Clearwater County,"8,630","994.71 sq mi
(2,576 km2)"
Cook County,"5,571","1,450.60 sq mi
(3,757 km2)"
Cottonwood County,"11,338","639.99 sq mi
(1,658 km2)"
Crow Wing County,"68,642","996.57 sq mi
(2,581 km2)"
Dakota County,"453,156","569.58 sq mi
(1,475 km2)"
Dodge County,"21,242","439.50 sq mi
(1,138 km2)"
Douglas County,"39,933","634.32 sq mi
(1,643 km2)"
Faribault County,"13,886","713.63 sq mi
(1,848 km2)"
Fillmore County,"21,502","861.25 sq mi
(2,231 km2)"
Freeborn County,"30,314","707.64 sq mi
(1,833 km2)"
Goodhue County,"47,982","758.27 sq mi
(1,964 km2)"
Grant County,"6,109","546.41 sq mi
(1,415 km2)"
Hennepin County,"1,273,334","556.62 sq mi
(1,442 km2)"
Houston County,"18,352","558.41 sq mi
(1,446 km2)"
Hubbard County,"22,050","922.46 sq mi
(2,389 km2)"
Isanti County,"43,687","439.07 sq mi
(1,137 km2)"
Itasca County,"45,442","2,665.06 sq mi
(6,902 km2)"
Jackson County,"9,861","701.69 sq mi
(1,817 km2)"
Kanabec County,"16,608","524.93 sq mi
(1,360 km2)"
Kandiyohi County,"44,674","796.06 sq mi
(2,062 km2)"
Kittson County,"3,992","1,097.08 sq mi
(2,841 km2)"
Koochiching County,"11,594","3,102.36 sq mi
(8,035 km2)"
Lac qui Parle County,"6,636","764.87 sq mi
(1,981 km2)"
Lake County,"10,698","2,099.16 sq mi
(5,437 km2)"
Lake of the Woods County,"3,797","1,296.70 sq mi
(3,358 km2)"
Le Sueur County,"29,458","448.50 sq mi
(1,162 km2)"
Lincoln County,"5,564","537.03 sq mi
(1,391 km2)"
Lyon County,"25,577","714.17 sq mi
(1,850 km2)"
McLeod County,"36,780","491.91 sq mi
(1,274 km2)"
Mahnomen County,"5,296","556.14 sq mi
(1,440 km2)"
Marshall County,"8,771","1,772.24 sq mi
(4,590 km2)"
Martin County,"19,561","709.34 sq mi
(1,837 km2)"
Meeker County,"23,491","608.54 sq mi
(1,576 km2)"
Mille Lacs County,"27,577","574.47 sq mi
(1,488 km2)"
Morrison County,"34,520","1,124.50 sq mi
(2,912 km2)"
Mower County,"40,900","711.50 sq mi
(1,843 km2)"
Murray County,"8,044","704.43 sq mi
(1,824 km2)"
Nicollet County,"34,493","452.29 sq mi
(1,171 km2)"
Nobles County,"21,969","715.39 sq mi
(1,853 km2)"
Norman County,"6,284","876.27 sq mi
(2,270 km2)"
Olmsted County,"166,424","653.01 sq mi
(1,691 km2)"
Otter Tail County,"60,884","1,979.71 sq mi
(5,127 km2)"
Pennington County,"13,652","616.54 sq mi
(1,597 km2)"
Pine County,"30,319","1,411.04 sq mi
(3,655 km2)"
Pipestone County,"9,100","465.89 sq mi
(1,207 km2)"
Polk County,"30,413","1,970.37 sq mi
(5,103 km2)"
Pope County,"11,495","670.14 sq mi
(1,736 km2)"
Ramsey County,"542,015","155.78 sq mi
(403 km2)"
Red Lake County,"3,882","432.43 sq mi
(1,120 km2)"
Redwood County,"15,254","879.73 sq mi
(2,278 km2)"
Renville County,"14,453","982.92 sq mi
(2,546 km2)"
Rice County,"69,025","497.57 sq mi
(1,289 km2)"
Rock County,"9,525","482.61 sq mi
(1,250 km2)"
Roseau County,"15,265","1,662.51 sq mi
(4,306 km2)"
Saint Louis County,"200,794","6,225.16 sq mi
(16,123 km2)"
Scott County,"157,206","356.68 sq mi
(924 km2)"
Sherburne County,"103,059","436.30 sq mi
(1,130 km2)"
Sibley County,"15,194","588.65 sq mi
(1,525 km2)"
Stearns County,"163,997","1,344.52 sq mi
(3,482 km2)"
Steele County,"37,434","429.55 sq mi
(1,113 km2)"
Stevens County,"9,819","562.06 sq mi
(1,456 km2)"
Swift County,"9,666","743.53 sq mi
(1,926 km2)"
Todd County,"25,955","942.02 sq mi
(2,440 km2)"
Traverse County,"3,134","574.09 sq mi
(1,487 km2)"
Wabasha County,"21,574","525.01 sq mi
(1,360 km2)"
Wadena County,"14,437","535.02 sq mi
(1,386 km2)"
Waseca County,"18,684","423.25 sq mi
(1,096 km2)"
Washington County,"283,960","391.70 sq mi
(1,014 km2)"
Watonwan County,"11,204","434.51 sq mi
(1,125 km2)"
Wilkin County,"6,268","751.43 sq mi
(1,946 km2)"
Winona County,"49,973","626.30 sq mi
(1,622 km2)"
Wright County,"154,593","660.75 sq mi
(1,711 km2)"
Yellow Medicine County,"9,373","757.96 sq mi
(1,963 km2)"
